age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
40,admin.,single,university.degree,no,no,no,telephone,jun,mon,498,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
28,blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,72,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
35,admin.,single,university.degree,no,yes,no,cellular,aug,fri,299,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
34,admin.,married,high.school,no,yes,yes,cellular,may,tue,179,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
59,retired,married,basic.4y,no,no,no,telephone,jul,thu,37,27,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
23,admin.,single,high.school,no,no,no,cellular,jun,mon,92,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,no
32,technician,married,university.degree,no,no,no,cellular,aug,thu,155,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
75,retired,married,basic.4y,no,yes,no,cellular,oct,wed,1020,3,999,3,failure,-1.1,94.601,-49.5,0.959,4963.6,no
37,admin.,single,university.degree,no,no,yes,cellular,may,mon,553,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
38,technician,married,professional.course,no,no,no,cellular,nov,wed,62,3,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
33,admin.,married,university.degree,no,yes,no,telephone,nov,wed,241,1,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes
26,services,married,high.school,no,yes,no,cellular,may,fri,104,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
39,management,married,university.degree,no,no,no,telephone,jun,mon,721,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,yes
56,retired,married,university.degree,no,no,no,cellular,nov,wed,232,1,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes
32,technician,married,university.degree,no,yes,no,cellular,aug,thu,151,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
30,technician,single,university.degree,no,yes,yes,cellular,aug,thu,1288,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
33,blue-collar,single,high.school,no,yes,no,cellular,mar,wed,140,10,999,0,nonexistent,-1.8,92.843,-50.0,1.602,5099.1,no
32,technician,single,professional.course,no,yes,no,cellular,jul,thu,128,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
42,blue-collar,married,basic.4y,no,no,no,cellular,jul,mon,378,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
46,blue-collar,single,basic.4y,no,no,no,telephone,may,thu,218,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
30,technician,single,university.degree,no,no,no,cellular,aug,wed,157,8,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
35,admin.,married,high.school,no,no,no,cellular,jul,wed,788,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
37,entrepreneur,single,university.degree,no,yes,no,telephone,jun,mon,348,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
29,unemployed,single,basic.4y,no,no,yes,cellular,jun,wed,243,3,3,2,success,-2.9,92.963,-40.8,1.244,5076.2,yes
41,blue-collar,married,basic.4y,unknown,no,no,cellular,may,wed,296,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
39,blue-collar,married,basic.6y,no,yes,no,telephone,may,thu,269,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
52,admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,tue,401,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
28,technician,single,high.school,no,yes,no,telephone,jul,tue,166,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
49,admin.,divorced,university.degree,no,no,no,telephone,jun,thu,487,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
36,admin.,single,university.degree,no,no,yes,cellular,aug,tue,35,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
54,technician,married,professional.course,no,yes,no,telephone,sep,mon,289,1,999,0,nonexistent,-3.4,92.379,-29.8,0.797,5017.5,no
48,technician,married,professional.course,no,yes,yes,cellular,oct,mon,450,1,8,1,success,-1.1,94.601,-49.5,0.977,4963.6,yes
25,admin.,single,university.degree,no,no,no,telephone,jun,mon,94,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
64,retired,married,basic.4y,no,yes,no,cellular,apr,wed,104,1,999,2,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
28,unemployed,single,university.degree,no,yes,no,cellular,may,mon,434,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
40,management,married,university.degree,no,no,no,cellular,nov,fri,132,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
49,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,268,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
39,services,married,high.school,unknown,no,no,telephone,may,tue,326,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
45,technician,married,high.school,no,yes,no,cellular,apr,mon,116,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
62,admin.,married,university.degree,no,no,no,cellular,aug,thu,68,1,999,1,failure,-2.9,92.201,-31.4,0.851,5076.2,no
39,services,divorced,high.school,no,no,no,cellular,jul,thu,151,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
43,management,married,university.degree,no,no,no,cellular,aug,tue,175,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
57,entrepreneur,divorced,basic.9y,no,yes,no,cellular,may,wed,236,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
44,blue-collar,married,professional.course,unknown,no,no,cellular,nov,tue,214,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
59,retired,divorced,basic.4y,no,no,no,telephone,may,tue,167,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
51,blue-collar,married,basic.4y,unknown,yes,no,telephone,jul,wed,139,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
58,blue-collar,married,high.school,no,yes,no,telephone,jun,tue,183,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
47,technician,married,professional.course,no,yes,no,cellular,aug,thu,117,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
44,admin.,married,high.school,no,no,no,cellular,may,fri,127,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
46,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,378,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
57,housemaid,married,basic.4y,no,yes,no,cellular,nov,fri,105,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
43,blue-collar,married,basic.4y,unknown,no,no,cellular,may,fri,518,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
47,technician,married,unknown,unknown,yes,no,cellular,nov,fri,57,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
39,technician,married,professional.course,no,yes,no,cellular,may,thu,1254,3,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
31,admin.,single,university.degree,no,yes,no,cellular,nov,fri,54,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
47,technician,married,professional.course,no,no,no,cellular,jul,mon,66,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
34,management,married,basic.4y,no,yes,no,cellular,may,thu,60,4,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
25,student,single,unknown,no,no,no,cellular,jul,tue,170,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,no
37,management,married,university.degree,no,yes,no,cellular,aug,wed,54,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
37,technician,single,professional.course,no,yes,no,cellular,apr,mon,20,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
43,admin.,married,university.degree,no,no,no,telephone,may,tue,350,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
31,services,married,high.school,no,no,no,telephone,may,thu,253,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
41,technician,single,professional.course,no,yes,no,cellular,aug,tue,239,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
33,housemaid,married,basic.4y,no,no,no,telephone,may,tue,213,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
55,technician,married,university.degree,no,no,no,telephone,may,mon,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
27,blue-collar,unknown,high.school,no,no,no,cellular,aug,fri,192,1,4,1,success,-2.9,92.201,-31.4,0.881,5076.2,yes
34,admin.,single,basic.9y,unknown,yes,no,telephone,jun,thu,319,6,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
41,management,married,basic.6y,no,no,no,telephone,may,mon,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41,technician,divorced,professional.course,no,no,no,cellular,apr,thu,774,2,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,yes
32,management,single,university.degree,no,no,no,cellular,jul,thu,654,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
52,admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,tue,201,9,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
24,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,194,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
47,admin.,married,basic.9y,no,yes,no,telephone,jun,wed,96,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
52,entrepreneur,single,university.degree,unknown,yes,no,cellular,nov,mon,472,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
76,retired,married,university.degree,no,yes,no,cellular,sep,fri,336,1,999,1,failure,-3.4,92.379,-29.8,0.773,5017.5,no
44,admin.,single,university.degree,no,no,no,cellular,apr,fri,815,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
34,admin.,married,university.degree,no,yes,yes,cellular,may,mon,582,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
30,admin.,single,university.degree,no,yes,no,cellular,aug,fri,217,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
37,technician,married,university.degree,no,no,no,cellular,nov,mon,119,1,999,3,failure,-1.1,94.767,-50.8,1.05,4963.6,no
36,management,single,university.degree,no,no,no,telephone,mar,wed,834,1,999,0,nonexistent,-1.8,93.369,-34.8,0.655,5008.7,yes
38,admin.,married,high.school,no,unknown,unknown,telephone,may,tue,145,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38,admin.,married,university.degree,no,unknown,unknown,cellular,may,wed,118,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
56,blue-collar,married,basic.9y,no,yes,no,cellular,nov,fri,757,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
31,admin.,single,university.degree,no,no,no,cellular,aug,thu,419,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
58,admin.,married,university.degree,no,no,no,cellular,nov,fri,70,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
30,management,single,university.degree,no,no,yes,telephone,may,wed,691,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
53,blue-collar,single,unknown,no,yes,no,cellular,may,wed,320,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
40,blue-collar,single,basic.9y,no,yes,yes,telephone,may,wed,325,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
35,blue-collar,single,unknown,no,yes,no,telephone,may,wed,125,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
30,blue-collar,single,basic.9y,unknown,no,no,telephone,jun,fri,10,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
45,management,married,unknown,unknown,no,yes,telephone,jun,mon,73,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
44,housemaid,married,basic.9y,no,no,no,telephone,may,fri,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
49,admin.,married,university.degree,no,no,no,cellular,jul,fri,44,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
40,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,fri,13,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
31,admin.,married,high.school,no,no,no,cellular,jun,wed,161,1,2,1,success,-2.9,92.963,-40.8,1.26,5076.2,no
34,management,married,university.degree,no,yes,no,telephone,jun,tue,150,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
39,services,married,unknown,unknown,yes,yes,cellular,jul,wed,1201,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
57,admin.,married,university.degree,unknown,yes,no,cellular,aug,thu,74,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
24,services,single,high.school,no,no,no,telephone,jun,fri,12,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
58,self-employed,married,university.degree,no,yes,no,cellular,aug,fri,173,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
40,management,married,university.degree,no,yes,no,telephone,may,wed,295,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
37,management,married,university.degree,no,no,no,telephone,may,wed,83,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
50,technician,married,high.school,no,no,no,telephone,may,wed,224,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
52,housemaid,married,basic.6y,no,yes,no,cellular,aug,tue,1134,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
65,retired,married,university.degree,no,no,no,cellular,apr,wed,124,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
47,housemaid,married,basic.4y,unknown,no,no,cellular,jul,tue,637,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
38,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,523,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
58,retired,married,high.school,unknown,no,no,cellular,may,tue,127,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
33,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,210,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
51,admin.,divorced,university.degree,no,no,no,cellular,jul,mon,470,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
40,management,married,university.degree,no,yes,no,cellular,apr,mon,96,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
56,blue-collar,married,basic.9y,no,yes,no,cellular,aug,thu,89,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
25,blue-collar,single,professional.course,no,yes,no,cellular,jun,tue,179,2,3,1,success,-2.9,92.963,-40.8,1.262,5076.2,yes
60,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,thu,80,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
38,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,171,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
31,technician,single,professional.course,no,no,no,cellular,aug,fri,109,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
57,blue-collar,married,high.school,unknown,yes,no,cellular,jul,fri,572,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
32,admin.,married,university.degree,no,yes,no,cellular,apr,thu,361,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
25,student,single,university.degree,no,no,no,cellular,aug,thu,184,1,999,0,nonexistent,-2.9,92.201,-31.4,0.851,5076.2,yes
29,admin.,married,university.degree,no,no,yes,cellular,jun,tue,347,3,5,1,success,-1.7,94.055,-39.8,0.702,4991.6,yes
42,admin.,married,university.degree,no,yes,no,cellular,jul,mon,46,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
36,services,married,high.school,no,yes,yes,telephone,jun,thu,77,6,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
24,self-employed,single,unknown,no,no,yes,cellular,jul,thu,342,2,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,yes
54,services,married,unknown,no,no,no,telephone,may,tue,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
29,admin.,married,university.degree,no,yes,no,cellular,dec,mon,116,2,999,1,failure,-3.0,92.713,-33.0,0.709,5023.5,no
40,blue-collar,married,basic.9y,unknown,yes,yes,cellular,may,wed,777,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
27,technician,married,professional.course,no,yes,yes,cellular,jul,mon,324,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
38,management,married,university.degree,no,yes,no,cellular,may,wed,172,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
46,housemaid,married,high.school,no,yes,no,telephone,aug,mon,130,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
55,management,married,university.degree,no,no,yes,cellular,jul,wed,260,2,3,1,success,-2.9,92.469,-33.6,1.085,5076.2,yes
36,admin.,divorced,high.school,no,no,yes,cellular,aug,fri,263,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
32,housemaid,single,university.degree,unknown,yes,no,cellular,jul,tue,71,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
28,student,single,basic.9y,no,yes,no,cellular,aug,wed,178,1,0,1,success,-1.7,94.027,-38.3,0.9,4991.6,yes
58,housemaid,married,basic.4y,no,no,no,telephone,may,wed,689,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
33,blue-collar,divorced,basic.9y,unknown,no,no,telephone,jul,wed,155,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
29,admin.,single,university.degree,no,no,no,cellular,oct,mon,123,2,12,2,failure,-1.1,94.601,-49.5,0.977,4963.6,no
30,entrepreneur,single,university.degree,no,yes,no,cellular,nov,wed,489,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,yes
30,services,single,basic.9y,no,yes,no,cellular,jul,wed,22,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
39,services,single,high.school,no,yes,no,telephone,jun,wed,205,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
47,services,married,high.school,no,no,no,cellular,aug,mon,157,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,jul,wed,306,2,999,0,nonexistent,1.4,93.918,-42.7,4.956,5228.1,no
38,services,married,high.school,unknown,no,no,telephone,may,fri,293,6,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
39,services,married,basic.6y,unknown,yes,no,telephone,jun,wed,100,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
21,student,single,high.school,unknown,yes,no,cellular,may,thu,142,3,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
42,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,wed,141,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
29,management,single,university.degree,no,no,no,cellular,nov,tue,232,1,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no
44,entrepreneur,married,high.school,no,no,no,cellular,aug,wed,70,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
31,technician,divorced,professional.course,no,no,no,cellular,aug,mon,231,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
29,technician,single,university.degree,no,no,no,cellular,aug,wed,210,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
19,student,single,high.school,unknown,no,yes,cellular,may,tue,106,4,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
34,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,thu,249,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
36,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,180,2,999,2,failure,-1.8,92.893,-46.2,1.281,5099.1,no
52,admin.,married,high.school,no,yes,yes,cellular,aug,wed,352,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
46,entrepreneur,married,professional.course,no,yes,no,telephone,jun,thu,410,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
32,blue-collar,single,basic.6y,no,yes,no,telephone,may,mon,130,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
35,services,married,basic.9y,no,no,yes,cellular,jul,wed,204,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
40,admin.,divorced,high.school,no,yes,no,telephone,sep,fri,101,1,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,no
37,blue-collar,single,basic.4y,no,yes,yes,cellular,jul,wed,156,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
42,technician,married,professional.course,unknown,yes,no,cellular,jul,mon,77,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
51,technician,married,professional.course,no,yes,no,cellular,nov,thu,123,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
45,admin.,single,university.degree,no,no,yes,telephone,may,tue,766,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
46,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,721,5,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
39,technician,single,professional.course,no,yes,no,cellular,apr,wed,226,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
43,management,married,university.degree,no,no,no,telephone,jun,fri,13,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
34,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,76,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
30,services,single,high.school,no,no,no,cellular,jul,thu,421,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
38,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,221,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
51,admin.,married,university.degree,no,yes,no,cellular,nov,tue,275,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
38,services,married,high.school,no,yes,no,telephone,may,tue,106,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
